residentspeople who live in a particular place
"rubbleThe broken remains of an object, usually rock or masonry."
prosperousეკონომიკურად წარმატებული და აყვავებული; კეთილდღეობითა და სიუხვით სავსე
"stretcherA simple litter designed to carry a sick, injured, or dead person."
jointshared combined or involving two or more parties
posturingTo pretend to have an opinion or a conviction
seizeTo deliberately take hold of; to grab or capture.
reefThe itch; any eruptive skin disorder.
"navyA country's entire sea force, including ships and personnel."
lay claimპრეტენზიის გამოთქმა
waterfrontThe area along the edge of a body of water (sea lake river).
siteLocation or place.
keenlyდიდი ენთუზიაზმითა და ინტერესით; მძაფრად ან მკვეთრად.
stagnantარ მოძრავი ან მზარდი; პროგრესის ან განვითარების გარეშე.
expansiveExtensive wide-ranging or covering a large area
top X amounttop => surpass/exceed
harassTo persistently disturb trouble or annoy someone.
"introspection,	The examination of one's own thoughts and feelings."
"convey,	To communicate; to make known; to portray."
"maritime,	Relating to or connected with the sea or its uses (as navigation, commerce, etc.)."
"seize,	To deliberately take hold of; to grab or capture."
"scuffle,	A rough, disorderly fight or struggle at close quarters."
"sustain,	To maintain, or keep in existence."
"unfurled,	To roll out or debut anything."
"behest,	A command, bidding; sometimes also, an authoritative request; now usually in the phrase at the behest of."
"anchor,	Figuratively something that provides stability or security."
"slate,	To anticipate or strongly expect."
"seize,	To take advantage of (an opportunity or circumstance)."
"expel,	To fire (a bullet, arrow etc.)."
"plunge,	To fall or move suddenly and steeply downward. It can also mean to thrust or immerse something forcefully into something else."
"hazard,	To risk (something); to venture, to incur, or bring on."
"maritime,	Bordering on the sea; living near the seacoast; coastal."
"struck,	To pass with a quick or strong effect; to dart; to penetrate."
"reef,	The itch; any eruptive skin disorder."
"slate,	To criticise harshly."
"grind,	To crush or reduce something to small particles by rubbing or pressing. It can also mean to work very hard and continuously."
"behest,	A vow; a promise."
"restrain,	To control or keep in check."
"slam,	To shut with sudden force so as to produce a shock and noise."
"outlets,	A place where goods are sold to the public; a point of sale."
"stance,	The manner, pose, or posture in which one stands."
"spur,	რაიმეს წახალისება ან სტიმულირება მოქმედების ან განვითარების დაჩქარება."
"desperation,	The act of despairing or becoming desperate; a giving up of hope."
"slate,	To schedule."
"prospective,	მოსალოდნელი ან მოსალოდნელად მიჩნეული მომავალში."
"endure,	To continue or carry on, despite obstacles or hardships; to persist."
"stance,	One's opinion or point of view."
"backdrop,	An image that serves as a visual background."
"yardstick,	კრიტერიუმი"
"ammunition,	Articles used in charging firearms and ordnance of all kinds; as powder, balls, shot, shells, percussion caps, rockets, etc."
"joint,	shared combined or involving two or more parties"
"dilapidated,	In disrepair or ruined due to age or neglect."
"hazard,	The chance of suffering harm; danger, peril, risk of loss."
"bank,	It can also refer to a raised area of land especially along the edge of a body of water."
"inclusion,	Restriction; limitation."
"spotlight,	A bright, directional light or lamp, especially one used to illuminate the focus or center of attention on a stage."
"struck,	(sometimes with out or through) To delete or cross out; to scratch or eliminate."
"endure,	To suffer patiently."
"impose,	To establish or apply by authority."
"egalitarian,	თანასწორუფლებიანი"
"rubble,	The broken remains of an object, usually rock or masonry."
"stronghold,	A place built to withstand attack; a fortress."
"en masse,	In a large group; all together."
"deploy,	To unfold, open, or otherwise become ready for use."
"reconnaisance,	დაზვერვა"
"combat,	fight battle"
"urged,	Strongly encouraged or pleaded with someone to do something"
"move by honour,	იმოქმედო ან იგრძნო ძლიერი გრძნობა პატივისცემის ან ღირსების გამო."
"menaces,	Threatens or poses a danger"
"ridge,	The line along which two sloping surfaces meet which diverge towards the ground."
"scrutiny,	Intense study of someone or something."
"depot,	A storage facility, in particular, a warehouse."
"famine,	Severe food shortage leading to widespread hunger and starvation"
"devoid,	To empty out; to remove."
"unfurling,	To open up by unrolling."
"deploy,	To install, test and implement a computer system or application."
"bizarre,	უცნაური"
"desperation,	A state of despair, or utter hopelessness; abandonment of hope"
"reef,	A chain or range of rocks, sand, or coral lying at or near the surface of the water."
"propel,	to drive push or cause to move forward or onward with force."
"perplexing,	Confusing or puzzling"
"restraint,	Control or caution; reserve"
"move ahead,	პროგრესის მიღწევა რაიმეს კეთების გაგრძელება ან მომავლისკენ სწრაფვა."
"ammunition,	Military stores, or provisions of all kinds for attack or defense."
"alleged,	Claimed to be true but not yet proven."
"subvert,	To undermine the power or authority of an established system or institution."
"slam,	To strike forcefully with some implement."
"precipitated,	Caused to happen suddenly or unexpectedly."
"wounded,	Suffering from an emotional injury."
"plight,	A difficult or dangerous situation; a predicament"
"preserve,	To protect; to keep from harm or injury."
"dread,	Intense fear or apprehension."
"stemmed,	Originated from or arose as a result of something. It can also mean having stopped or restricted the flow of something."
"confrontation,	A conflict between armed forces."
"tied to,	Connected or linked to something else often implying a cause-and-effect relationship or a strong association."
"convey,	To transfer legal rights (to)."
"reportedly,	According to reports or rumors; supposedly."
"confront,	To stand or meet facing, especially in competition, hostility or defiance; to come face to face with"
"slate,	A thin plate of any material; a flake."
"poised,	Ready, prepared."
"deem,	რაიმეს განსჯა ან მიჩნევა გარკვეულნაირად."
"preceded,	To go before, go in front of."
"contradiction,	A logical inconsistency among two or more elements or propositions."
"slam,	A sudden impact or blow."
"darn,	A mild expression of annoyance or disappointment"
"conduct,	To lead; to direct; to be in charge of (people or tasks)"
"roadblocks,	Obstacles or hindrances preventing progress."
"rule out,	გამორიცხვა"
"buzz,	A continuous, humming noise, as of bees; a confused murmur, as of general conversation in low tones."
"harass,	To persistently disturb trouble or annoy someone."
"smuggling,	To import or export, illicitly or by stealth, without paying lawful customs charges or duties"
"barred,	აკრძალული ან შეზღუდული წვდომის მხრივ; ასევე შეიძლება ნიშნავდეს ჩაკეტვას ან გადაკეტვას."
"spokeperson,	Someone who speaks officially on behalf of an organization or person."
"premise,	განცხადება ან იდეა რომელიც მიჩნეულია ჭეშმარიტად და რომელზეც დაფუძნებულია არგუმენტი ან დასკვნა."
"sandbank,	A ridge of sand along a shore that is partially or totally submerged and thus a hazard to shipping."
